"","PROBEID","SYMBOL"
"332","HTA2-neg-47420666_st",NA
"333","HTA2-neg-47420668_st",NA
"334","HTA2-neg-47420669_st",NA
"335","HTA2-neg-47420704_st",NA
"336","HTA2-neg-47420711_st",NA
"337","HTA2-neg-47420716_st",NA
"338","HTA2-neg-47420725_st",NA
"339","HTA2-neg-47420729_st",NA
"340","HTA2-neg-47420731_st",NA
"341","HTA2-neg-47420755_st",NA
"342","HTA2-neg-47420757_st",NA
"343","HTA2-neg-47420761_st",NA
"344","HTA2-neg-47420772_st",NA
"345","HTA2-neg-47420776_st",NA
"346","HTA2-neg-47420781_st",NA
"347","HTA2-neg-47420786_st",NA
"348","HTA2-neg-47420787_st",NA
"349","HTA2-neg-47420804_st",NA
"350","HTA2-neg-47420806_st",NA
"351","HTA2-neg-47420814_st",NA
"352","HTA2-neg-47420823_st",NA
"353","HTA2-neg-47420827_st",NA
"354","HTA2-neg-47420835_st",NA
"355","HTA2-neg-47420851_st",NA
"356","HTA2-neg-47420860_st",NA
"357","HTA2-neg-47420864_st",NA
"358","HTA2-neg-47420867_st",NA
"359","HTA2-neg-47420874_st",NA
"360","HTA2-neg-47420882_st",NA
"361","HTA2-neg-47420897_st",NA
"362","HTA2-neg-47420898_st",NA
"363","HTA2-neg-47420903_st",NA
"364","HTA2-neg-47420904_st",NA
"365","HTA2-neg-47420908_st",NA
"366","HTA2-neg-47420910_st",NA
"367","HTA2-neg-47420912_st",NA
"368","HTA2-neg-47420916_st",NA
"369","HTA2-neg-47420926_st",NA
"370","HTA2-neg-47420934_st",NA
"371","HTA2-neg-47420940_st",NA
"372","HTA2-neg-47420966_st",NA
"373","HTA2-neg-47420981_st",NA
"374","HTA2-neg-47420982_st",NA
"375","HTA2-neg-47421001_st",NA
"376","HTA2-neg-47421169_st",NA
"377","HTA2-neg-47421172_st",NA
"378","HTA2-neg-47421192_st",NA
"379","HTA2-neg-47421227_st",NA
"380","HTA2-neg-47421241_st",NA
"381","HTA2-neg-47421296_st",NA
"382","HTA2-neg-47421298_st",NA
"383","HTA2-neg-47421299_st",NA
"384","HTA2-neg-47421342_st",NA
"385","HTA2-neg-47421354_st",NA
"386","HTA2-neg-47421373_st",NA
"387","HTA2-neg-47421381_st",NA
