SYMBOL,EH031TC,EH072TC,EH113TC,EH041TT,EH082TT,EH123TT,EH011SC,EH052SC,EH093SC,EH021ST,EH062ST,EH103ST
MIR4524B,1.74509880777867,2.78831526170758,2.0157188704546,2.33567760334757,2.47380128956703,1.89497501993491,2.02944739145347,1.64204913560764,2.02592476053447,2.84991451807885,1.64083561717513,3.18164235982652
MIR4526,6.81997041033271,7.41018171259296,7.00284948036125,6.95841056436799,6.97803864952398,6.54668958347354,6.72251508232391,6.59239514552047,6.71496717394481,6.55050101948436,6.57413724539007,6.71055431557073
MIR4529,4.99361880220468,4.95473413994217,5.12436563330061,4.86541412074861,4.7636692500147,5.04089980264474,4.22445724407792,4.42473535774576,4.68208951036976,4.46832764465239,4.43523236748772,5.14160934621509
MIR4533,7.71136570064511,8.17202990598081,8.13097342313591,8.25455576659981,7.9691508106939,8.06076729676799,7.50560280628155,7.29185608457027,7.69427657767571,7.41674932465041,7.55911020221365,7.8631281757133
MIR4534,7.91608674085953,7.13389932208753,7.80163459460008,8.96892716742401,9.02722890860633,9.00589369030859,9.08878504057543,8.6370168209252,9.0455120893581,9.26432118118468,9.06109154128316,9.18437674614754
MIR4535,4.92625895953756,5.26320993933354,5.03129708428611,4.67702790385071,5.12985085832815,4.64852366384592,4.8631389608879,4.34268051677839,4.7316189795543,4.40233049976824,4.41520401091358,4.79900735048433
MIR4539,8.02936035237514,8.53262050463222,8.42827821222805,8.53543542947304,8.32692921351317,8.17069164856069,7.94728826718945,7.96901620978259,8.19001118405357,7.7282757123998,7.80399732032825,8.32699489729691
MIR454,1.93704809226492,1.93358423617736,1.78770409171807,2.09217398110737,1.85032067523946,1.98531713364814,2.94138802833746,2.48848124433577,2.54658899190775,2.42520869422352,2.72843415598284,1.50303966158855
MIR4540,3.9053312580473,3.54396381593502,4.41785207219646,4.85270567131406,3.69934012857271,3.57642989871239,3.7545367519924,3.33088057029489,4.39204365276461,3.29188271758807,4.17082295540067,4.18617596501064
MIR4632,6.19222417830808,6.34626006423776,6.37766633260483,6.16666959216777,6.36450511183517,6.14377192281329,8.9027934620962,9.15276596458585,9.01550850873195,9.46973899854162,9.53801397117021,9.07511384576627
MIR4634,7.69601309537979,8.3869735180238,8.33827678948096,7.93510571817868,7.83227376142808,7.71727595007225,7.98718132910782,7.17877581417327,7.9705624492121,7.46374852203746,7.07458680886409,8.11991350470539
MIR4638,7.13327333235306,7.41211521189119,7.57933410356244,7.32318986192209,7.14431243247251,7.09993268546124,6.77037718999695,6.64606373220105,7.16198083526425,6.82036934601336,6.72305041416444,7.08407301651364
MIR4639,8.12878201338281,8.376314654877,8.72799328733692,8.02231496755315,8.25162804551067,8.29055681352099,7.78289495197042,7.93510032629669,7.86694144120727,8.20845038278793,8.13106967360315,7.74473130168831
MIR4644,5.8191224145126,6.11051155098676,5.97801422802941,5.96882023144817,5.56612637208636,5.82674442764282,6.08268707207757,5.45982485794557,5.62123450630776,5.045569380648,5.04647460600778,5.66132746519299
MIR4645,3.79059534990465,2.92005959846142,3.24371796904948,3.65707482902472,3.01022354684912,4.10441821440845,4.40601658661697,4.82245885739358,4.62021367925385,4.80648784914865,5.04915809822375,5.15427825490535
MIR4647,10.5447904845825,9.86701236107272,9.96099945113201,10.6493368386154,10.9036244889744,10.7468624600022,9.6027494672642,9.39091099355625,9.80721122018609,9.84835703398013,9.67263313196655,9.81254519736555
MIR4648,6.36301885397372,6.40754105246352,6.47404505677219,8.46050695849102,8.47145410262398,8.0542165412379,8.01325383274227,8.05377911949796,7.94308471816439,8.7012529035096,8.82283517864508,8.61844158700224
MIR4650-1,1.791050143248285,2.212311506281485,1.9319132041929898,2.08858329756878,1.5771775513778001,1.89286438936275,2.243947047633135,1.75410648401349,2.18428924893088,1.6798273316279348,1.6457298033026602,1.539481507025185
MIR4650-2,1.791050143248285,2.212311506281485,1.9319132041929898,2.08858329756878,1.5771775513778001,1.89286438936275,2.243947047633135,1.75410648401349,2.18428924893088,1.6798273316279348,1.6457298033026602,1.539481507025185
MIR4651,9.24789354100341,9.59847250264295,9.99147597397013,9.1626883003269,9.43775618394324,9.39487279443652,9.73809989904571,9.44331662074288,9.62326984220438,9.97134339312789,9.84704385275179,9.88525149985701
MIR4652,3.70623471265297,3.1067085691318,3.85318264420306,3.56583709404124,3.33475719582575,3.41578284110301,3.04829029241184,3.48993918055963,2.57014307124574,3.27839502176345,3.14299794232991,2.85848804856718
MIR4653,5.51384420243395,5.29730835484361,5.63339208340518,6.14876209865469,5.98923554888987,5.96536335553531,5.48868692295211,5.4142797698525,5.03206947026415,5.18617819054213,5.8150153860386,5.09778776534942
MIR4654,6.27414044059354,6.88017636822998,6.66698031188578,6.48310246086632,6.40714649126543,6.32353002761862,6.1020347473853,6.02789212916916,6.37974120618414,5.81771558638697,5.85427345081238,6.44548522345293
MIR4656,8.08701573132615,8.53724487634073,8.2776016540974,8.19212683150246,8.03308593922088,7.91266667558302,7.91164260435986,7.69869205726198,8.00314692600635,7.67023312872461,7.66506732837996,8.22205437583193
MIR4657,7.51442612098787,6.23397368262496,6.51187251509135,7.45650852225686,7.36199871416877,7.43294013639741,7.07494251258829,7.22106676530858,7.31714688910753,7.49762077138431,7.51525096129676,7.49982547163447
MIR4659A,3.270991999645,3.20240509940761,2.77986712246875,3.49793550770164,2.67305060545342,3.32965928968163,3.96577727316791,4.4212283061408,4.23258915300687,4.72436348171095,5.18453928200075,4.14532397188137
MIR4660,4.51872975520471,4.73832346238202,4.66227085365556,4.62562244328039,4.21402438227193,4.36081466234585,4.75399404981921,4.77275155317596,4.65996032687738,4.78629933131371,3.898675580846,4.48202587236748
MIR4661,3.08324542377337,2.22395106544187,2.46866682255654,3.09431214025064,3.05894683015604,3.21396953589592,2.35691350477145,2.76104562484541,2.20743364599787,3.26089033606591,2.82267139219818,2.24170537955592
MIR4667,9.36227756151994,9.92602316401279,10.2544554999781,9.1412836644264,9.21455379573924,9.12786227878416,9.5750158253214,9.56455004539645,9.5937002696189,9.45584053927293,9.29821894223636,9.62556648170432
MIR4668,2.40333176604749,1.95945722653542,1.66259178408319,2.46831878679527,3.45363928537087,2.41025838691761,2.11146844399389,2.43105970135773,1.76005541490035,1.93152638557281,2.05475369357733,2.32587110201158
MIR4673,7.39002972727031,7.7784872866003,7.93161711172111,7.57727297335256,7.64738192487889,7.40813745728558,7.56130507999963,6.78555328093191,7.61644055568908,7.0798250119125,7.12393097076716,7.45023100093013
MIR4674,9.76988297008742,10.4985492171484,10.6714911677265,10.0426698204817,9.88106053404023,9.69383787953946,9.79584825421237,9.38174415246796,9.34997398746104,9.44883312647408,9.36892114660217,9.88547037754733
MIR4675,5.11540363159373,4.92223610548474,5.1892673396471,5.51633980891605,5.01944120925709,5.34023873604013,4.98745702084535,4.68299554574237,5.35029946259073,4.66780774961007,4.55476962558028,5.63006507340097
MIR4677,3.15823917046741,3.04912329460131,3.11114261157077,4.16363100852059,3.95074360802585,4.09847834184105,3.42612301085087,3.81356671761483,2.6877911926455,3.96480429465446,3.95381610974539,3.74690839284852
MIR4680,9.05552969408579,8.25830473689716,8.49348122306984,6.60195690886631,6.99588386673219,7.31293693024016,9.43333050336519,9.34017637029296,9.70007623970645,9.03224223076104,9.06787100839171,8.80224050301411
MIR4683,4.9372906134351,5.8015094808101,6.02600199346425,5.20396540378051,5.44183480104381,5.4626212737846,5.25377757247679,5.75369061483335,5.78201133396989,5.49984541918434,5.51819931947482,5.82055648772686
MIR4687,9.12230486133435,8.74165900416822,8.80120001395719,9.35769545446773,9.19272864154827,9.46636133764152,8.40977963933487,8.50239379892389,8.41052368728179,8.25464131945984,8.22134218379078,8.23002485932857
MIR4689,7.46679615909757,8.27852578972551,8.10111947869414,7.97416763843704,7.55071128474162,7.50844853460908,7.65956352459523,7.11547889982442,8.02418655103259,7.63895052926391,7.30224612156274,7.86502164775746
MIR4690,7.76387793381207,8.40870506134163,7.88464568635667,7.77005368030716,7.6801489859064,7.51301732485141,7.49667819379769,7.22864863440211,7.68367459459063,7.04121420531128,7.24345675877929,7.7207987988437
MIR4691,9.78603188807903,9.65767005279398,9.78950561189873,10.4953460689036,10.4785274995063,10.4466192281923,10.5666400544667,10.2499891314404,10.4713320300922,10.6858189400863,10.6068128345892,10.6775136124153
MIR4695,7.35140940871089,7.59185443691348,7.73726879446019,7.44563915576714,7.31360405556252,7.62722990779023,7.53697197102694,7.12906201593229,7.56986518643923,7.08840485095829,7.04603515791136,7.66765204156922
MIR4697,4.84848002384848,4.17654063983829,3.79877129214888,4.92236131003521,5.29498597840209,5.18726136973373,5.47548576788536,5.32120934485279,5.57436655066095,5.38739368924258,5.6452580033971,5.44611508559042
MIR4699,1.26162265382945,1.65169258925511,1.91832875398117,1.33728324970618,1.97608148378213,1.42337589328707,1.76829627572634,1.57807394017289,1.95859745057476,1.56615200717454,1.54963813491287,2.06343558434842
MIR4703,1.53418627757829,1.58961679881893,1.33295918851352,1.87238604189327,1.5646051493818,1.70266756068085,1.64255699584938,1.98522589454359,1.30993990600362,1.62373932351781,1.96040558768808,1.17411980433346
MIR4706,6.35878109083806,6.87006410141046,6.8086939997903,6.65381518861113,6.4617168641312,6.39183006859093,6.36527514721519,5.8427047171378,6.69111021470314,5.94445897940387,5.85934824242913,6.78239171737096
MIR4707,6.56081489755893,5.0951993924176,6.00172587677157,5.10201112937124,5.61162953039905,5.72256978434226,7.19154905909216,7.54668691747674,6.73172060107255,6.4125637338934,6.31860522919194,5.74503261543474
MIR4709,9.26092688273235,9.35969268176678,9.72108002407447,8.92618179041229,9.32429698300573,9.2047915388386,9.89117626783462,9.98985961203172,10.0540016561368,9.98340029409781,10.178462706856,9.81608365568833
MIR4710,5.74673805649612,5.81414623849687,5.76865046797292,6.0871168762623,6.3047480160656,6.01812495767996,6.26208218620308,5.78012510041702,5.81845736386352,6.39544661605635,6.19347931479817,5.85907379966597
MIR4711,3.75595782513422,4.55820954620555,4.15776406815703,4.21685978483924,4.22110804327829,4.55599727481097,3.66202669660736,4.08525372557942,4.508637223461,3.66350590908805,3.97705513222436,4.86478615419075
MIR4712,6.44146863041035,5.76110691350225,5.79297909117369,6.37489718140931,6.40772628195384,6.26218920748622,6.42448467185337,6.28275223342898,6.16932968985962,6.48331575153234,6.28648026939922,6.01521923592549
MIR4713,4.45208067516098,4.02011430953798,4.16268846564962,3.83735539412487,4.3568905266482,3.58053508844772,3.4045103066039,3.81159582192915,3.4090471577022,3.20736926176167,3.9904235884516,4.1460100100448
MIR4715,2.3706448209956,3.1463077742951,2.96436004087141,3.27927056007914,2.86393931099277,2.17380539230376,2.13211092732851,2.67977599582927,3.14303257715103,2.12706715341949,2.76519693015408,3.37394004807456
MIR4718,4.01400106359353,3.54937237985075,4.46566655516628,3.93635498163154,3.55181124834436,3.16013183891186,3.27500384766012,3.95931732827439,3.89132158490344,3.46346651921767,3.29170554208508,3.78410254982863
MIR4720,7.89627728956578,7.81981313953704,8.44845429169593,8.76068643995218,8.44507035430733,8.57521313645809,7.39989605121572,7.35849921340706,7.51501814296965,7.74867440132682,7.59339093007893,7.58603808577979
MIR4722,7.68083097367058,8.4183856535886,8.19301384903532,8.00062067644084,7.73891681418327,7.69058568452836,7.67316863273541,7.35982835786977,7.88923461076028,7.33062716884956,7.1690653694417,7.74258202917264
MIR4724,8.10915598666881,8.0442176815361,7.90574928706578,8.16436595833502,8.40919193493999,8.2063457008303,7.54264890671071,7.50008377212629,7.75261387338027,7.78350511787822,7.6226108259377,7.38195554346428
MIR4726,5.8670873467122,6.12667060700334,6.45799567236946,5.97097353079817,5.67919652960284,5.78132630343325,5.99003727243376,5.41710616633672,5.83491899870536,5.30830984782532,4.96392113563419,6.06878815696831
MIR4729,2.81105439528347,3.09786691201667,3.20577586622742,2.83612350923199,3.16639676783123,2.65308624232174,2.31543869687341,2.36841181113266,2.57221537119277,2.34136964173916,2.76661159400658,2.88965910210124
MIR4731,6.30245570909044,6.70882442642132,6.72576546115097,6.78958341587871,6.32775025847537,6.28958525646022,6.15860679070942,6.12309086286602,6.33190195015722,6.03613193004617,6.04688257731141,6.71467061870469
MIR4733,2.71763427591911,3.91344664855115,3.31705234288428,3.79631156723978,3.15188347397781,2.63630188554173,2.79432805044533,3.2401798615639,3.47148082902201,2.8576298773839,2.73008066735019,3.34334755986219
MIR4734,9.22343679221364,9.94535098857114,9.74468879544332,9.6330064330203,9.55617863460136,9.49948197785757,9.29610714642832,9.10460060436746,9.37728084269421,8.84507323893489,8.92797812832257,9.58310786213957
MIR4737,9.60338834717613,8.97504222386927,9.00163896434406,10.1237096304095,10.0295009852473,9.88217639311632,9.4720457020401,9.61811942039464,9.63478400913378,10.2010122477624,9.93472978983377,10.0643595562206
MIR4739,7.48058836310801,8.40920200362689,8.38907775539495,7.91178952521113,7.45600992354033,7.62024691332766,7.78007715818255,7.28285807996309,7.91360408098023,7.15818145797265,7.11852274827778,7.62766097107584
